,ISO3,COUNTRY,POLLUTANT,INDUSTRY CODE,INDUSTRY CODE ALT,INDUSTRY CODE DESC,UNIT POLLUTANT,CCY DESC,CCY,VALUE GHG,VALUE OUTPUT,YEAR,LOCATION,CCY INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE CCY,FLAG CODE,CO2 LOAD,ANNUAL REVENUE DEDUCTION FACTOR
0,AUS,Australia,GHG,A,ZA,"Agriculture, forestry and fishing",Tonnes,Australian Dollar,AUD,59559700.0,102069000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.0588723380329483,0.00588723380329483
1,AUS,Australia,GHG,B,ZB,Mining and quarrying,Tonnes,Australian Dollar,AUD,80705400.0,222390000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.036613393348037225,0.0036613393348037225
2,AUS,Australia,GHG,C,ZC,Manufacturing,Tonnes,Australian Dollar,AUD,53740100.0,358342000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.015130504144378833,0.0015130504144378835
3,AUS,Australia,GHG,C10-C12,Z10_12,"Manufacture of food products, beverages and tobacco products",Tonnes,Australian Dollar,AUD,4474600.0,98333000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.004591002942348957,0.0004591002942348957
4,AUS,Australia,GHG,C19,Z19,Manufacture of coke and refined petroleum products,Tonnes,Australian Dollar,AUD,3792100.0,19575000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.019544773982375478,0.001954477398237548
5,AUS,Australia,GHG,C20,Z20,Manufacture of chemicals and chemical products,Tonnes,Australian Dollar,AUD,11601000.0,14786000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.07915846551129446,0.007915846551129447
6,AUS,Australia,GHG,C23,Z23,Manufacture of other non-metallic mineral products,Tonnes,Australian Dollar,AUD,9206900.0,18820000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.049356737951381506,0.004935673795138151
7,AUS,Australia,GHG,C28,Z28,Manufacture of machinery and equipment n.e.c.,Tonnes,Australian Dollar,AUD,469100.0,11580000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.00408704590284974,0.0004087045902849741
8,AUS,Australia,GHG,D,ZD,"Electricity, gas, steam and air conditioning supply",Tonnes,Australian Dollar,AUD,192751300.0,73100000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.2660312044577975,0.02660312044577975
9,AUS,Australia,GHG,E36,Z36,"Water collection, treatment and supply",Tonnes,Australian Dollar,AUD,2449600.0,21481000000.0,2016,AUS,EXCH,TOT,NATUSD,A,2016,1.345214,,0.0115051774163214,0.00115051774163214
